0.6178151898757498, {'Strength of Schedule', 'Adj Def Efficiency', 'Coach Record'}
0.5950389104699403, {'Seed', 'Strength of Schedule', 'Adj Def Efficiency'}
0.6173328371173403, {'Won a Major Conference', 'Strength of Schedule', 'Adj Def Efficiency'}
0.5712732078034812, {'Major Conference', 'Adj Def Efficiency', 'Win %'}
0.5524189653644431, {'Turnovers per game', 'Adj Def Efficiency', 'Win %'}
0.582141902387207, {'Wins Last 10 Games', 'Adj Def Efficiency', 'Win %'}
0.6244628362486051, {'Strength of Schedule', 'Rebounds', 'Adj Def Efficiency'}
0.5777053975519205, {'Coach Record', 'Adj Def Efficiency', 'Win %'}
0.5903643474625222, {'Seed', 'Adj Def Efficiency', 'Win %'}
0.5759445710661283, {'Won a Major Conference', 'Adj Def Efficiency', 'Win %'}
0.6098895295903527, {'Rebounds', 'Adj Def Efficiency', 'Win %'}
0.5462791130737162, {'Turnovers per game', 'Adj Def Efficiency', 'Major Conference'}
0.5711821932717485, {'Coach Record', 'Adj Def Efficiency', 'Major Conference'}
0.5559265786361548, {'Seed', 'Adj Def Efficiency', 'Major Conference'}
0.5738273598754359, {'Wins Last 10 Games', 'Adj Def Efficiency', 'Major Conference'}
0.6074623653504976, {'Rebounds', 'Adj Def Efficiency', 'Major Conference'}
0.5604177700365754, {'Wins Last 10 Games', 'Turnovers per game', 'Adj Def Efficiency'}
0.5712741917474796, {'Won a Major Conference', 'Adj Def Efficiency', 'Major Conference'}
0.5906290504078326, {'Seed', 'Turnovers per game', 'Adj Def Efficiency'}
0.5518675818494497, {'Turnovers per game', 'Adj Def Efficiency', 'Coach Record'}
0.5527498851420926, {'Won a Major Conference', 'Turnovers per game', 'Adj Def Efficiency'}
0.5819318018849081, {'Wins Last 10 Games', 'Adj Def Efficiency', 'Coach Record'}
0.5931312142319733, {'Turnovers per game', 'Rebounds', 'Adj Def Efficiency'}
0.580947031349479, {'Won a Major Conference', 'Wins Last 10 Games', 'Adj Def Efficiency'}
0.5562171816308632, {'Seed', 'Wins Last 10 Games', 'Adj Def Efficiency'}
0.6150530202821305, {'Wins Last 10 Games', 'Rebounds', 'Adj Def Efficiency'}
0.5903377912236045, {'Seed', 'Adj Def Efficiency', 'Coach Record'}
0.5756719190617364, {'Won a Major Conference', 'Adj Def Efficiency', 'Coach Record'}
0.5617849488730027, {'Seed', 'Rebounds', 'Adj Def Efficiency'}
0.6097716296672122, {'Rebounds', 'Adj Def Efficiency', 'Coach Record'}
0.5556535036929879, {'Seed', 'Won a Major Conference', 'Adj Def Efficiency'}
0.6838671809618286, {'Strength of Schedule', 'Turnovers per game', 'Win %'}
0.6842167815434231, {'Major Conference', 'Strength of Schedule', 'Win %'}
0.6841882272972052, {'Strength of Schedule', 'Wins Last 10 Games', 'Win %'}
0.6093701504137026, {'Won a Major Conference', 'Rebounds', 'Adj Def Efficiency'}
0.6842887941089734, {'Coach Record', 'Strength of Schedule', 'Win %'}
0.684652040590292, {'Strength of Schedule', 'Rebounds', 'Win %'}
0.6842523657948986, {'Strength of Schedule', 'Won a Major Conference', 'Win %'}
0.6020312874208349, {'Seed', 'Strength of Schedule', 'Win %'}
0.6842179577152836, {'Coach Record', 'Strength of Schedule', 'Major Conference'}
0.684592476837685, {'Strength of Schedule', 'Turnovers per game', 'Major Conference'}
0.6841122899261751, {'Strength of Schedule', 'Wins Last 10 Games', 'Major Conference'}
0.6841799731334779, {'Strength of Schedule', 'Won a Major Conference', 'Major Conference'}
0.6021422818988047, {'Seed', 'Strength of Schedule', 'Major Conference'}
0.6845981091521094, {'Strength of Schedule', 'Rebounds', 'Major Conference'}
0.683988811830023, {'Wins Last 10 Games', 'Strength of Schedule', 'Turnovers per game'}
0.5968765653735155, {'Seed', 'Strength of Schedule', 'Turnovers per game'}
0.6838703683716576, {'Strength of Schedule', 'Turnovers per game', 'Coach Record'}
0.6840531613404359, {'Won a Major Conference', 'Strength of Schedule', 'Turnovers per game'}
0.6843582859889332, {'Strength of Schedule', 'Rebounds', 'Turnovers per game'}
0.6841894378523644, {'Strength of Schedule', 'Wins Last 10 Games', 'Coach Record'}
0.6841505003583933, {'Won a Major Conference', 'Strength of Schedule', 'Wins Last 10 Games'}
0.5984873246917102, {'Seed', 'Strength of Schedule', 'Wins Last 10 Games'}
0.6845828378293087, {'Strength of Schedule', 'Rebounds', 'Wins Last 10 Games'}
0.684652208450228, {'Strength of Schedule', 'Rebounds', 'Coach Record'}
0.6022187624566298, {'Seed', 'Strength of Schedule', 'Coach Record'}
0.6842535698825218, {'Strength of Schedule', 'Won a Major Conference', 'Coach Record'}
0.6018237359863201, {'Seed', 'Strength of Schedule', 'Won a Major Conference'}
0.6065042523102938, {'Seed', 'Strength of Schedule', 'Rebounds'}
0.684624254877698, {'Strength of Schedule', 'Rebounds', 'Won a Major Conference'}
0.5651806776512384, {'Seed', 'Major Conference', 'Win %'}
0.6226595619476595, {'Major Conference', 'Turnovers per game', 'Win %'}
0.6666110407874655, {'Coach Record', 'Major Conference', 'Win %'}
0.684281783559058, {'Major Conference', 'Rebounds', 'Win %'}
0.6857881693466774, {'Major Conference', 'Won a Major Conference', 'Win %'}
0.6903162931228692, {'Coach Record', 'Turnovers per game', 'Win %'}
0.6858720975812439, {'Major Conference', 'Wins Last 10 Games', 'Win %'}
0.55732264060341, {'Seed', 'Turnovers per game', 'Win %'}
0.5673264072782053, {'Seed', 'Wins Last 10 Games', 'Win %'}
0.6842817468017441, {'Coach Record', 'Wins Last 10 Games', 'Win %'}
0.6859408998792255, {'Turnovers per game', 'Rebounds', 'Win %'}
0.6635342101390987, {'Turnovers per game', 'Wins Last 10 Games', 'Win %'}
0.6842817882727188, {'Won a Major Conference', 'Wins Last 10 Games', 'Win %'}
0.6842817855729715, {'Rebounds', 'Wins Last 10 Games', 'Win %'}
0.6662158911993314, {'Turnovers per game', 'Won a Major Conference', 'Win %'}
0.5554904084128852, {'Seed', 'Coach Record', 'Win %'}
0.5653385199786274, {'Seed', 'Won a Major Conference', 'Win %'}
0.6842817397812897, {'Coach Record', 'Rebounds', 'Win %'}
0.6842817790669862, {'Coach Record', 'Won a Major Conference', 'Win %'}
0.5760021188346927, {'Seed', 'Rebounds', 'Win %'}
0.684281783788817, {'Rebounds', 'Won a Major Conference', 'Win %'}
0.6401524035869652, {'Coach Record', 'Turnovers per game', 'Major Conference'}
0.5522802065509765, {'Seed', 'Turnovers per game', 'Major Conference'}
1.0474106758750779, {'Turnovers per game', 'Wins Last 10 Games', 'Major Conference'}
0.5682480920540186, {'Seed', 'Wins Last 10 Games', 'Major Conference'}
0.6842818580924488, {'Won a Major Conference', 'Wins Last 10 Games', 'Major Conference'}
0.6855308149699777, {'Turnovers per game', 'Rebounds', 'Major Conference'}
0.6842817958340849, {'Rebounds', 'Wins Last 10 Games', 'Major Conference'}
0.5647824498188115, {'Seed', 'Coach Record', 'Major Conference'}
0.6453329092584312, {'Coach Record', 'Wins Last 10 Games', 'Major Conference'}
0.6537221016932965, {'Turnovers per game', 'Won a Major Conference', 'Major Conference'}
0.6842815938553046, {'Coach Record', 'Won a Major Conference', 'Major Conference'}
0.6842817898470444, {'Coach Record', 'Rebounds', 'Major Conference'}
0.5649323448584476, {'Seed', 'Won a Major Conference', 'Major Conference'}
0.5763396171908374, {'Seed', 'Rebounds', 'Major Conference'}
0.5621853130265911, {'Seed', 'Turnovers per game', 'Wins Last 10 Games'}
0.6842817753633604, {'Rebounds', 'Won a Major Conference', 'Major Conference'}
0.5503211150469862, {'Seed', 'Turnovers per game', 'Coach Record'}
0.6844324776251411, {'Turnovers per game', 'Rebounds', 'Wins Last 10 Games'}
0.6732555594728008, {'Turnovers per game', 'Wins Last 10 Games', 'Coach Record'}
0.5560996981824422, {'Seed', 'Turnovers per game', 'Won a Major Conference'}
0.6559625703663251, {'Won a Major Conference', 'Turnovers per game', 'Wins Last 10 Games'}
0.6845976022954741, {'Turnovers per game', 'Rebounds', 'Coach Record'}
0.5726877396935002, {'Seed', 'Turnovers per game', 'Rebounds'}
0.6560599440788204, {'Turnovers per game', 'Won a Major Conference', 'Coach Record'}
0.5670179373173606, {'Seed', 'Wins Last 10 Games', 'Coach Record'}
0.684875495695248, {'Turnovers per game', 'Rebounds', 'Won a Major Conference'}
0.68428173804517, {'Won a Major Conference', 'Wins Last 10 Games', 'Coach Record'}
0.5699759930109851, {'Seed', 'Won a Major Conference', 'Wins Last 10 Games'}
0.576878013201247, {'Seed', 'Rebounds', 'Wins Last 10 Games'}
0.6842817908773524, {'Rebounds', 'Wins Last 10 Games', 'Coach Record'}
0.6842822933023539, {'Won a Major Conference', 'Rebounds', 'Wins Last 10 Games'}
0.5613631560634618, {'Seed', 'Won a Major Conference', 'Coach Record'}
0.5759454785260687, {'Seed', 'Rebounds', 'Coach Record'}
0.5364450780851566, {'Coach Tourney Appearances', 'Adj Off Efficiency', 'Adj Def Efficiency', 'FG%'}
0.6842816767425234, {'Rebounds', 'Won a Major Conference', 'Coach Record'}
0.5761300988704948, {'Seed', 'Rebounds', 'Won a Major Conference'}
0.603710865432735, {'Coach Tourney Appearances', 'Adj Off Efficiency', 'Strength of Schedule', 'FG%'}
0.5753794158845627, {'Coach Tourney Appearances', 'Adj Off Efficiency', 'FG%', 'Win %'}
0.5752636354239768, {'Coach Tourney Appearances', 'Adj Off Efficiency', 'FG%', 'Major Conference'}
0.5756749688844509, {'Coach Tourney Appearances', 'Adj Off Efficiency', 'Turnovers per game', 'FG%'}
0.573769880422229, {'Coach Tourney Appearances', 'Adj Off Efficiency', 'Wins Last 10 Games', 'FG%'}
0.5617339548077528, {'Seed', 'Coach Tourney Appearances', 'Adj Off Efficiency', 'FG%'}
0.5754043506803648, {'Coach Tourney Appearances', 'Adj Off Efficiency', 'FG%', 'Coach Record'}
0.5815666534826625, {'Coach Tourney Appearances', 'Adj Off Efficiency', 'Rebounds', 'FG%'}
0.575545629859698, {'Won a Major Conference', 'Coach Tourney Appearances', 'Adj Off Efficiency', 'FG%'}
0.6120648012683519, {'Coach Tourney Appearances', 'Strength of Schedule', 'Adj Def Efficiency', 'FG%'}
0.5819651256587212, {'Coach Tourney Appearances', 'Adj Def Efficiency', 'FG%', 'Win %'}
0.5813065727453377, {'Coach Tourney Appearances', 'Adj Def Efficiency', 'FG%', 'Major Conference'}
0.5752071511163963, {'Coach Tourney Appearances', 'Turnovers per game', 'Adj Def Efficiency', 'FG%'}
0.5819749025015, {'Coach Tourney Appearances', 'Adj Def Efficiency', 'FG%', 'Coach Record'}
0.5790957590267144, {'Coach Tourney Appearances', 'Wins Last 10 Games', 'Adj Def Efficiency', 'FG%'}
0.5661303451869648, {'Seed', 'Coach Tourney Appearances', 'Adj Def Efficiency', 'FG%'}
0.5816004491463254, {'Won a Major Conference', 'Coach Tourney Appearances', 'Adj Def Efficiency', 'FG%'}
0.5755017315716794, {'Rebounds', 'Coach Tourney Appearances', 'Adj Def Efficiency', 'FG%'}
0.6433677986565242, {'Coach Tourney Appearances', 'Strength of Schedule', 'FG%', 'Win %'}
0.6430357670076898, {'Coach Tourney Appearances', 'Strength of Schedule', 'FG%', 'Major Conference'}
0.6336626975360611, {'Coach Tourney Appearances', 'Turnovers per game', 'Strength of Schedule', 'FG%'}
0.6434019776258383, {'Coach Tourney Appearances', 'Strength of Schedule', 'FG%', 'Coach Record'}
0.6411961252792983, {'Wins Last 10 Games', 'Coach Tourney Appearances', 'Strength of Schedule', 'FG%'}
0.6432604938986838, {'Won a Major Conference', 'Coach Tourney Appearances', 'Strength of Schedule', 'FG%'}
0.6056029523769535, {'Seed', 'Coach Tourney Appearances', 'Strength of Schedule', 'FG%'}
0.6276075693788947, {'Coach Tourney Appearances', 'Major Conference', 'FG%', 'Win %'}
0.6424633905607321, {'Coach Tourney Appearances', 'Strength of Schedule', 'Rebounds', 'FG%'}
