Winner,Loser,Winner Points,Loser points,OTs,Coach Tourney Appearances  Winner,SRS Winner,FG% Winner,RPI Winner,Adj Off Efficiency Winner,Adj Def Efficiency Winner,Adj Off-Def Winner,Strength of Schedule Winner,Win % Winner,Coach sweet 16 appearances Winner,Avg. Scoring margin Winner,Major Conference Winner,Turnovers per game Winner,Wins Last 10 Games  Winner,Coach Record Winner,Seed Winner,Points Allowed Per Game Winner,Coach final four appearance Winner,AP Poll Winner,Won a Major Conference Winner,Rebounds Winner,Coach Tourney Appearances  Loser,SRS Loser,FG% Loser,RPI Loser,Adj Off Efficiency Loser,Adj Def Efficiency Loser,Adj Off-Def Loser,Strength of Schedule Loser,Win % Loser,Coach sweet 16 appearances Loser,Avg. Scoring margin Loser,Major Conference Loser,Turnovers per game Loser,Wins Last 10 Games  Loser,Coach Record Loser,Seed Loser,Points Allowed Per Game Loser,Coach final four appearance Loser,AP Poll Loser,Won a Major Conference Loser,Rebounds Loser
Loyola Chicago,Nevada,69,68,0,0,-0.25,0.51,0.62,111.3,96.2,15.1,0.51,0.85,1,9.7,0,12.2,10,0.51,11,62,0,27,0,32.16,1,14.55,0.47,0.62,119.9,101.7,18.2,0.55,0.79,1,10.2,0,9.9,7,0.74,7,72.9,0,24,0,35.57
Kansas St,Kentucky,61,58,0,11,13.45,0.47,0.58,112.2,97.4,14.8,0.55,0.67,4,4.5,1,11.5,6,0.65,9,67.9,1,35,1,30.7,18,17.58,0.47,0.62,116.4,96,20.4,0.59,0.71,14,6.4,1,13,7,0.78,5,70.2,4,18,1,38.68
Florida St,Gonzaga,75,60,0,8,14.97,0.47,0.59,115.8,100,15.8,0.55,0.65,3,7.3,1,13,4,0.56,9,74.5,0,47,1,37.77,18,2.62,0.5,0.61,119.8,95.1,24.7,0.51,0.88,8,17.4,0,11.3,10,0.82,4,67.1,1,8,0,39.92
Purdue,Butler,76,73,0,10,24.14,0.5,0.63,123.2,96.6,26.6,0.57,0.82,4,15.5,1,10.7,6,0.68,2,65.6,0,11,1,35,0,16.44,0.47,0.58,115.8,97.9,17.9,0.58,0.61,0,6.3,1,11.2,4,0.55,10,72.8,0,32,1,34.23
Syracuse,Michigan State,55,53,0,32,12.25,0.42,0.59,107.7,94.1,13.6,0.58,0.61,18,3,1,12.6,5,0.74,11,64.5,5,47,1,37.16,20,23.46,0.5,0.62,120,93.6,26.4,0.54,0.88,13,16.2,1,13.2,9,0.72,3,64.8,7,5,1,41.11
Texas A&M,North Carolina,86,65,0,3,15.71,0.46,0.6,111.2,94.3,16.9,0.59,0.63,2,5.2,1,13.6,6,0.56,7,69.8,0,47,1,41.43,27,21.29,0.46,0.64,122,96.9,25.1,0.62,0.71,18,8.9,1,12,7,0.79,2,73.1,9,10,1,42.43
Nevada,Cincinnati,75,73,0,1,14.55,0.47,0.62,119.9,101.7,18.2,0.55,0.79,1,10.2,0,9.9,7,0.74,7,72.9,0,24,0,35.57,9,20.86,0.45,0.64,113.2,86.2,27,0.56,0.88,1,17.3,0,11.5,8,0.67,2,57.2,0,6,0,39.25
Clemson,Auburn,84,53,0,4,16.51,0.45,0.63,113.8,93.5,20.3,0.59,0.72,1,7.5,1,12.1,5,0.61,5,65.8,0,20,1,35.89,8,17.58,0.44,0.62,118.2,97.6,20.6,0.56,0.78,4,10.1,1,12.3,5,0.65,4,73.3,0,19,1,37.94
Kansas St,UMBC,50,43,0,11,13.45,0.47,0.58,112.2,97.4,14.8,0.55,0.67,4,4.5,1,11.5,6,0.65,9,67.9,1,35,1,30.7,0,-3.7,0.45,0.53,103.4,105.3,-1.9,0.47,0.71,0,1.5,0,12.1,8,0.61,16,71,0,47,0,34.58
Florida St,Xavier,75,70,0,8,14.97,0.47,0.59,115.8,100,15.8,0.55,0.65,3,7.3,1,13,4,0.56,9,74.5,0,47,1,37.77,7,19.63,0.49,0.64,120.7,99,21.7,0.59,0.85,4,9.8,1,12.4,8,0.69,1,74.5,0,3,1,38.34
