Team Name,kaggle id,Tournament Wins,seed,points,# of wins in last 10 games,coach tourney appearances,SOS,Offensive Efficiency,Defensive Efficiency,Offensive-Defensive Effiency subtract offensive - defensive efficiency to get this column,Coach Record (overall),SRS (sports ref),FT,turnovers per game,winning %,TRB,AST,points pg,Points Allowed PG,PF,3PA (sports reference),Coaching Final Four Appearances (square root),FGA,Wins Against Tournament Teams (square root),FG%,Average Scoring Margin,Major Conference,Steals,Steals pg,KenPom Sos,True Shoot %,Terry Rank,Defensive Rebounds Per Game,Offensive Rating,Defensive Rating,TSP,Free Throw %,AP Poll,Adj. Off-Def,Strength of Schedule,Turnovers per Game,KenPom AdjEM,3PA/Min,3P%,Sagarin Predictor
New Mexico St,1308,0,12,2504,8,0,-1.38,108.5,94.9,13.6,0.742,9.48,377,12.7,0.848,1368,467,75.9,64.7,591,748,0.00,2042,1.414,0.455,10.9,0,186,,-1.51,0.54,61.889,28.19354839,113.6319422,98.93050549,54.63504027,0.643,31,13.6,0.4947,12.7,13.56,0.56,0.33,79.93
North Carolina,1314,1,2,2869,7,27,12.45,122,96.9,25.1,0.788,21.29,483,12,0.714,1487,637,82,73.1,550,796,3.00,2279,3.000,0.46,8.9,1,197,,14.05,0.554,9.889,28.41666667,120.3603143,107.5777139,56.07713667,0.741,10,25.1,0.6223,12,25.03,0.57,0.36,90.98
Ohio State,1326,1,5,2426,6,3,8.98,116.2,95,21.2,0.597,18.1,422,11.8,0.75,1174,472,75.8,66.7,556,612,0.00,1842,2.236,0.485,9.1,1,193,,8.16,0.573,17.667,27.15151515,117.3217056,102.3680747,58.20597727,0.726,17,21.2,0.5711,11.8,21.11,0.47,0.35,86.31
Oklahoma,1328,0,10,2640,2,17,10.9,115.1,100.7,14.4,0.611,14.41,494,13.4,0.581,1175,467,85.2,81.6,533,815,1.41,1993,2.449,0.464,3.5,1,204,,11.96,0.572,38.667,28.09375,114.2690163,102.8676355,57.03456726,0.748,47,14.4,0.5734,13.4,14.42,0.65,0.36,84.55
Penn,1335,0,16,2446,8,3,-3.95,103.6,99.9,3.7,0.494,2.25,424,11.9,0.75,1207,492,76.4,69.8,553,784,0.00,1841,0.000,0.46,6.1,0,187,,-4.63,0.55,119.333,28.40625,110.4645969,102.0550283,55.92264134,0.666,47,3.7,0.4547,11.9,3.7,0.61,0.35,74.89
Providence,1344,0,10,2506,5,4,10.21,108.9,97,11.9,0.593,11.22,545,12.5,0.618,1221,468,73.7,72.7,601,651,0.00,1975,2.236,0.442,1,1,233,,10.42,0.535,57.333,25.37142857,110.1860825,107.5374871,54.43406096,0.703,30,11.9,0.5912,12.5,11.92,0.47,0.33,81.46
Purdue,1345,2,2,2759,6,10,8.66,123.2,96.6,26.6,0.675,24.14,517,10.7,0.824,1191,568,81.1,65.6,528,776,0.00,1928,2.236,0.497,15.5,1,198,,8.55,0.611,5.889,26.6,125.1578937,101.6316981,61.99161435,0.743,11,26.6,0.5652,10.7,26.66,0.57,0.42,92.59
Radford,1347,0,16,2290,7,0,-4.85,103.6,103.6,0,0.5,-2.8,423,12.2,0.647,1175,415,67.4,64.9,556,752,0.00,1882,0.000,0.426,2.1,0,214,,-4.43,0.53,164.889,23.06060606,109.072747,105.9417425,53.67662874,0.723,47,0,0.4672,12.2,-0.02,0.54,0.35,72.17
Rhode Island,1348,1,7,2438,6,1,3.67,111.7,97.3,14.4,0.591,12.18,422,10.8,0.781,1100,489,76.2,67.9,609,600,0.00,1905,2.449,0.462,8.3,0,237,,2.69,0.546,37.889,23.12121212,115.6389862,102.5774671,55.24634699,0.707,28,14.4,0.552,10.8,14.38,0.48,0.35,83.31
S Dakota St,1355,0,12,2885,10,1,-0.58,114.6,104,10.6,0.667,7.11,566,10,0.824,1321,459,84.9,74.1,547,896,0.00,2084,1.000,0.48,7.7,0,169,,-0.1,0.592,74.000,29.35483871,119.4823559,107.9954654,58.67987346,0.76,40,8.6,0.4962,10,10.48,0.65,0.40,78.24
San Diego St,1361,0,11,2480,9,0,3.85,111.3,97.1,14.2,0.688,12.49,481,11.9,0.688,1206,477,77.5,66.4,545,693,0.00,1913,1.414,0.461,8.6,0,202,,3.37,0.556,70.444,26.375,114.4538494,102.9652605,55.71728902,0.721,41,14.2,0.5255,11.9,14.14,0.54,0.34,82.27
Seton Hall,1371,1,8,2528,4,2,9.82,116.3,99,17.3,0.545,15.49,467,12.8,0.656,1223,506,79,73.3,567,640,0.00,1950,2.449,0.468,5.7,1,201,,9.58,0.557,25.556,26,116.72537,107.5923947,56.40319987,0.693,36,17.3,0.5763,12.8,17.33,0.50,0.36,85.34
SF Austin,1372,0,14,2759,9,0,-7,105,99.4,5.6,0.687,2.76,558,15.6,0.824,1217,490,81.1,68.4,740,637,0.00,2012,1.000,0.488,9.8,0,347,,-7.58,0.578,118.333,23.90322581,112.715082,98.59220267,57.20410158,0.705,47,5.6,0.4351,15.6,5.62,0.47,0.37,74.91
St. Bonaventure,1382,0,11,2493,9,1,2.09,112.3,101.1,11.2,0.531,8.99,557,11.5,0.781,1138,455,77.9,71,641,623,0.00,1850,2.000,0.456,6.9,0,221,,2.2,0.566,46.778,25.24242424,116.810945,106.6805714,57.35811987,0.754,33,11.2,0.5333,11.5,11.2,0.48,0.40,80.72
Syracuse,1393,2,11,2229,5,32,9.26,107.7,94.1,13.6,0.735,12.25,534,12.6,0.606,1233,362,67.5,64.5,538,601,2.24,1796,2.646,0.418,3,1,239,,8.72,0.521,50.667,25.55882353,108.9000369,102.593622,52.82388331,0.74,47,13.6,0.5839,12.6,13.6,0.45,0.32,82.68
TCU,1395,0,6,2656,5,11,9.98,120.6,101.7,18.9,0.715,17.03,465,12.7,0.656,1166,601,83,75.9,537,677,0.00,1925,2.449,0.499,7.1,1,211,,9.82,0.594,21.000,25.36363636,121.7078567,111.4530547,60.10036002,0.708,47,18.9,0.5888,12.7,18.91,0.52,0.40,86.67
Tennessee,1397,1,3,2449,7,22,10.59,114.8,92.7,22.1,0.649,8.2,524,12.2,0.758,1194,522,74.2,66.1,646,648,1.00,1835,3.000,0.441,7.8,1,204,,11.62,0.552,12.667,24.61764706,116.1464027,102.4892125,56.27889789,0.756,13,22.1,0.5804,12.2,22.15,0.51,0.38,86.46
